plotID,unitID,plotNo,tagNo
1,1,1,1541
2,1,2,1542
3,1,3,1543
4,1,4,1544
5,1,5,1545
6,1,6,1546
7,1,7,1547
8,1,8,1548
9,1,9,1549
10,1,10,1550
11,1,11,1551
12,1,12,1552
13,1,13,1553
14,1,14,1554
15,1,15,1555
16,1,16,1556
17,1,17,1557
18,1,18,1558
19,1,19,1559
20,1,20,1560
21,2,1,1501
22,2,2,1502
23,2,3,1503
24,2,4,1504
25,2,5,1505
26,2,6,1506
27,2,7,1507
28,2,8,1508
29,2,9,1509
30,2,10,1510
31,2,11,1511
32,2,12,1512
33,2,13,1513
34,2,14,1514
35,2,15,1515
36,2,16,1516
37,2,17,1517
38,2,18,1518
39,2,19,1519
40,2,20,1520
81,4,1,2301
82,4,2,2302
83,4,3,2303
84,4,4,2304
85,4,5,2305
86,4,6,2306
87,4,7,2307
88,4,8,2308
89,4,9,2309
90,4,10,2310
91,4,11,2311
92,4,12,2312
93,4,13,2313
94,4,14,2314
95,4,15,2315
96,4,16,2316
97,4,17,2317
98,4,18,2318
99,4,19,2319
100,4,20,2320
61,5,1,1981
62,5,2,1982
63,5,3,1983
64,5,4,1984
65,5,5,1985
66,5,6,1986
67,5,7,1987
68,5,8,1988
69,5,9,1989
70,5,10,1990
71,5,11,1991
72,5,12,1992
73,5,13,1993
74,5,14,1994
75,5,15,1995
76,5,16,1996
77,5,17,1997
78,5,18,1998
79,5,19,1999
80,5,20,2000
41,6,1,2321
42,6,2,2322
43,6,3,2323
44,6,4,2324
45,6,5,2325
46,6,6,2326
47,6,7,2327
48,6,8,2328
49,6,9,2329
50,6,10,2330
51,6,11,2331
52,6,12,2332
53,6,13,2333
54,6,14,2334
55,6,15,2335
56,6,16,2336
57,6,17,2337
58,6,18,2338
59,6,19,2339
60,6,20,2340
101,7,1,2341
102,7,2,2342
103,7,3,2343
104,7,4,2344
105,7,5,2345
106,7,6,2346
107,7,7,2347
108,7,8,2348
109,7,9,2349
110,7,10,2350
111,7,11,2351
112,7,12,2352
113,7,13,2353
114,7,14,2354
115,7,15,2355
116,7,16,2356
117,7,17,2357
118,7,18,2358
119,7,19,2359
120,7,20,2360
121,10,1,501
122,10,2,502
123,10,3,503
124,10,4,504
125,10,5,505
126,10,6,506
127,10,7,507
128,10,8,508
129,10,9,509
130,10,10,510
131,10,11,511
132,10,12,512
133,10,13,513
134,10,14,514
135,10,15,515
136,10,16,516
137,10,17,517
138,10,18,518
139,10,19,519
140,10,20,520
141,11,1,541
142,11,2,542
143,11,3,543
144,11,4,544
145,11,5,545
146,11,6,546
147,11,7,547
148,11,8,548
149,11,9,549
150,11,10,550
151,11,11,551
152,11,12,552
153,11,13,553
154,11,14,554
155,11,15,555
156,11,16,556
157,11,17,557
158,11,18,558
159,11,19,559
160,11,20,560
161,12,1,561
162,12,2,562
163,12,3,563
164,12,4,564
165,12,5,565
166,12,6,566
167,12,7,567
168,12,8,568
169,12,9,569
170,12,10,570
171,12,11,571
172,12,12,572
173,12,13,573
174,12,14,574
175,12,15,575
176,12,16,576
177,12,17,577
178,12,18,578
179,12,19,579
180,12,20,580
181,13,1,462
182,13,2,463
183,13,3,464
184,13,4,465
185,13,5,466
186,13,6,467
187,13,7,468
188,13,8,469
189,13,9,470
190,13,10,471
191,13,11,472
192,13,12,473
193,13,13,474
194,13,14,475
195,13,15,476
196,13,16,477
197,13,17,478
198,13,18,479
199,13,19,480
200,13,20,481
201,14,1,601
202,14,2,602
203,14,3,603
204,14,4,604
205,14,5,605
206,14,6,606
207,14,7,607
208,14,8,608
209,14,9,609
210,14,10,610
211,14,11,611
212,14,12,612
213,14,13,613
214,14,14,614
215,14,15,615
216,14,16,616
217,14,17,617
218,14,18,618
219,14,19,619
220,14,20,620
267,15,1,442
268,15,2,443
269,15,3,444
270,15,4,445
271,15,5,446
272,15,6,447
273,15,7,448
274,15,8,449
275,15,9,450
276,15,10,451
277,15,11,452
278,15,12,453
279,15,13,454
280,15,14,455
281,15,15,456
282,15,16,457
283,15,17,458
284,15,18,459
285,15,19,460
286,15,20,461
227,16,1,581
228,16,2,582
229,16,3,583
230,16,4,584
231,16,5,585
232,16,6,586
233,16,7,587
234,16,8,588
235,16,9,589
236,16,10,590
237,16,11,591
238,16,12,592
239,16,13,593
240,16,14,594
241,16,15,595
242,16,16,596
243,16,17,597
244,16,18,598
245,16,19,599
246,16,20,600
247,17,1,521
248,17,2,522
249,17,3,523
250,17,4,524
251,17,5,525
252,17,6,526
253,17,7,527
254,17,8,528
255,17,9,529
256,17,10,530
257,17,11,531
258,17,12,532
259,17,13,533
260,17,14,534
261,17,15,535
262,17,16,536
263,17,17,537
264,17,18,538
265,17,19,539
266,17,20,540
221,18,1,
222,18,2,
223,18,3,
224,18,4,
225,18,5,
226,18,6,
347,34,1,932
365,34,2,957
366,34,3,963
367,34,4,922
348,36,1,711
349,36,2,712
350,36,3,713
351,36,4,714
356,36,9,717
357,36,10,721
358,36,11,720
359,36,12,719
352,37,5,722
353,37,6,738
354,37,7,739
355,37,8,740
361,37,13,723
362,37,14,724
363,37,15,725
364,37,16,726
