treeID,unitSamplingEpisodeID,plotID,treeTagNo,speciesID,dbh_in,ht_ft,htlc_ft,cbh_ft,statusID,notes,crownScorch_%,maxScorchHt_ft,minBoleChar_ft,maxBoleChar_ft,burnSeverity
2,1,1,3801,858,2.4,6.5,5.8,5.8,1,much damage,,,,,
3,7,101,1871,1030,14.7,58,23,18,1,,,,,,
4,7,101,1872,1030,13.9,59,31,10,1,,,,,,
5,7,101,1873,917,13.5,70,16,16,1,,,,,,
6,7,101,1874,1030,10.2,55,17,8,1,,,,,,
7,7,101,1875,1030,12.1,54,19,10,1,,,,,,
8,7,101,1876,1030,9,45,18,8,1,,,,,,
9,7,103,1877,917,11.5,68,29,17,1,,,,,,
10,7,103,1878,917,6.5,53,29,13,1,,,,,,
11,7,103,1879,917,9.8,62,34,18,1,,,,,,
12,7,103,1880,917,6.7,50,37,10,1,,,,,,
13,7,103,1881,917,6.8,52,40,11,1,,,,,,
14,7,103,1882,917,9,51,31,11,1,,,,,,
15,7,103,1883,917,7.5,47,20,9,1,,,,,,
16,7,103,1884,917,6.9,52,13,13,1,,,,,,
17,7,103,1885,917,6.9,51,18,10,1,,,,,,
18,7,103,1886,917,7.8,45,24,9,1,,,,,,
19,7,103,1887,917,9.9,57,9,9,1,,,,,,
20,7,103,1888,917,4.4,31,,17,6,,,,,,
21,7,105,1889,917,6.1,60,41,41,1,,,,,,
22,7,105,1890,917,7.1,67,45,45,1,,,,,,
23,7,105,1891,936,6.9,61,36,22,1,,,,,,
24,7,105,1892,917,11.9,84,31,31,1,,,,,,
25,7,105,1893,936,12.4,73,,20,6,,,,,,
26,7,105,1894,917,9.2,69,27,27,1,,,,,,
27,7,105,1895,917,5.5,53,18,18,1,,,,,,
28,7,105,1896,936,11,66,,18,6,,,,,,
29,7,105,1897,871,1.4,11,1,1,1,5 live stems; 5 dead stems,,,,,
30,7,105,1898,917,8.1,72,37,37,1,,,,,,
31,7,105,1899,1037,0.7,7,1,1,1,4 live stems; 5 dead stems,,,,,
32,7,105,1900,936,10.1,63,,24,6,,,,,,
33,7,105,201,936,9.7,63,,26,6,,,,,,
34,7,105,202,936,10,64,,29,6,,,,,,
35,7,105,203,917,5.7,50,34,34,1,,,,,,
36,7,105,204,936,11.4,74,,29,6,,,,,,
37,7,105,205,1009,0.6,9,1,1,1,12 live stems; 0 dead,,,,,
38,7,105,206,1037,0.3,8,1,1,1,1 live stem,,,,,
39,7,105,207,1009,0.5,7,1,1,1,20 live stems; 0 dead,,,,,
40,7,105,208,1009,0.3,6,1,1,1,6 live stems; 0 dead,,,,,
41,7,105,209,1009,0.3,6,1,1,1,4 live stems; 0 dead,,,,,
42,7,107,210,917,10.3,68,42,25,1,,,,,,
43,7,107,211,917,3.5,30,28,17,1,,,,,,
44,7,107,212,917,8.2,56,35,35,1,,,,,,
45,7,107,213,917,6.5,48,26,26,1,,,,,,
46,7,107,214,917,9,64,33,33,1,,,,,,
47,7,107,215,917,9.6,69,37,37,1,,,,,,
48,7,107,216,917,7.8,62,31,31,1,,,,,,
49,7,107,217,917,7.9,63,32,14,1,,,,,,
50,7,107,218,917,7.2,61,31,31,1,,,,,,
51,7,107,219,917,7,53,21,7,1,,,,,,
52,7,107,220,917,11.7,69,34,34,1,,,,,,
53,7,107,221,917,7.9,56,34,24,1,,,,,,
54,7,107,222,917,9.8,64,48,20,1,,,,,,
55,7,107,223,917,9,61,29,29,1,,,,,,
56,7,109,224,917,6.4,51,,31,6,,,,,,
57,7,109,225,917,7.7,60,28,28,1,,,,,,
58,7,109,226,917,10.6,73,36,36,1,,,,,,
59,7,109,227,917,9.1,67,32,32,1,,,,,,
60,7,109,228,917,9.4,65,30,30,1,,,,,,
61,7,109,229,917,9.8,68,25,25,1,,,,,,
62,7,109,230,917,7.3,58,39,26,1,,,,,,
63,7,109,231,1030,7.5,34,5,5,1,,,,,,
64,7,111,232,917,15.7,86,45,45,1,,,,,,
65,7,111,233,917,10.4,60,51,51,1,,,,,,
66,7,111,234,1030,11,64,20,20,1,,,,,,
67,7,111,235,917,11.6,80,54,54,1,,,,,,
68,7,111,236,1030,12.9,74,44,16,1,,,,,,
69,7,111,237,1030,19.6,80,41,11,1,,,,,,
70,7,111,238,917,10.8,59,32,32,1,,,,,,
71,7,111,239,917,10.2,81,53,53,1,,,,,,
72,7,111,240,1030,6.3,36,22,22,1,,,,,,
73,7,111,241,1030,2.8,16,,13,6,,,,,,
74,7,111,242,1030,7.7,58,,32,6,,,,,,
75,7,111,243,1030,14.8,82,33,33,1,,,,,,
76,7,111,244,1037,1.4,9,5,4,1,1 live stem; 1 dead stem (18in tall),,,,,
77,7,111,245,1030,10.5,13,,,6,,,,,,
78,7,113,246,917,12.2,54,16,8,1,,,,,,
79,7,113,247,1030,10.2,49,18,3,1,,,,,,
80,7,113,248,1030,9.5,50,11,4,1,,,,,,
81,7,113,249,1030,18.2,64,15,7,1,,,,,,
82,7,113,250,1030,18.6,66,25,9,1,,,,,,
83,7,115,251,1030,2.5,12,5,3,1,,,,,,
84,7,115,252,1030,14.4,58,31,31,1,,,,,,
85,7,115,253,917,6.6,57,32,32,1,,,,,,
86,7,115,254,1030,7.9,41,31,7,1,,,,,,
87,7,115,255,936,8.6,59,23,23,1,,,,,,
88,7,115,256,1030,6.4,46,28,8,1,,,,,,
89,7,115,257,917,9.5,67,43,43,1,,,,,,
90,7,115,258,1030,7.1,41,24,5,1,,,,,,
91,7,115,259,967,4.8,31,,2,6,5 dead stems,,,,,
92,7,115,260,1030,11.8,59,28,5,1,,,,,,
93,7,115,261,1030,13.6,64,25,3,1,,,,,,
94,7,115,262,967,2.1,11,,4,6,1 stem,,,,,
95,7,117,263,936,7.3,53,27,27,1,,,,,,
96,7,117,264,1030,2.5,25,,,6,,,,,,
97,7,117,265,917,17.7,81,,7,6,,,,,,
98,7,117,266,1030,14,73,32,12,1,,,,,,
99,7,117,267,1030,7,16,,,6,,,,,,
