projectName,unitName,epShort,samplingStartDate,plot,transectNo,speciesCode,scientificName,logDiameter,decayClassID
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,1,PIPO,Pinus ponderosa,4.1,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,1,PIPO,Pinus ponderosa,4,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,1,UNKN,Unknown species,3.2,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,2,PIPO,Pinus ponderosa,4.5,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,2,PIPO,Pinus ponderosa,11.5,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,2,PIPO,Pinus ponderosa,4,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,2,PIPO,Pinus ponderosa,5,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,2,UNKN,Unknown species,4.3,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,2,UNKN,Unknown species,3.4,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,3,PIPO,Pinus ponderosa,4.1,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,3,PIPO,Pinus ponderosa,7.3,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,3,PSME,Pseudotsuga menziesii,5.5,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,3,UNKN,Unknown species,8.1,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,3,UNKN,Unknown species,5.1,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,1,PIPO,Pinus ponderosa,4.2,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,1,PIPO,Pinus ponderosa,3.2,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,1,PSME,Pseudotsuga menziesii,14.6,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,2,PSME,Pseudotsuga menziesii,11.1,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,2,UNKN,Unknown species,16.5,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,2,UNKN,Unknown species,12.1,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,3,PIPO,Pinus ponderosa,6.4,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,3,PSME,Pseudotsuga menziesii,10,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,3,UNKN,Unknown species,5.4,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,3,2,PIPO,Pinus ponderosa,10.2,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,3,3,PIPO,Pinus ponderosa,3.1,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,3,3,PIPO,Pinus ponderosa,5.1,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,4,1,PIPO,Pinus ponderosa,11.2,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,4,1,UNKN,Unknown species,12.7,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,4,3,PIPO,Pinus ponderosa,5.3,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,4,3,PIPO,Pinus ponderosa,14.6,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,5,1,PSME,Pseudotsuga menziesii,12.9,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,5,2,PIPO,Pinus ponderosa,5,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,5,2,PSME,Pseudotsuga menziesii,3.9,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,5,2,PSME,Pseudotsuga menziesii,7.2,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,5,2,UNKN,Unknown species,43.6,5
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,5,2,UNKN,Unknown species,3.9,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,5,3,PSME,Pseudotsuga menziesii,5.4,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,5,3,UNKN,Unknown species,6.2,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,7,1,PSME,Pseudotsuga menziesii,13.7,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,7,1,UNKN,Unknown species,16.5,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,7,2,PIPO,Pinus ponderosa,4.5,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,7,3,PSME,Pseudotsuga menziesii,5.9,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,8,1,PIPO,Pinus ponderosa,5.6,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,8,1,PSME,Pseudotsuga menziesii,4.9,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,8,1,UNKN,Unknown species,5,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,8,2,UNKN,Unknown species,3.2,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,1,PIPO,Pinus ponderosa,9.2,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,1,PSME,Pseudotsuga menziesii,9.5,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,2,PIPO,Pinus ponderosa,4.5,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,2,PIPO,Pinus ponderosa,4.1,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,2,PIPO,Pinus ponderosa,4.4,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,2,PIPO,Pinus ponderosa,3.4,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,2,PIPO,Pinus ponderosa,3.3,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,2,PIPO,Pinus ponderosa,3.1,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,2,PIPO,Pinus ponderosa,3.7,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,2,PIPO,Pinus ponderosa,3.1,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,2,PIPO,Pinus ponderosa,3.3,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,2,PSME,Pseudotsuga menziesii,11,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,3,PIPO,Pinus ponderosa,14.1,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,3,PIPO,Pinus ponderosa,3.6,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,3,PIPO,Pinus ponderosa,5.5,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,3,PIPO,Pinus ponderosa,24.9,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,3,PIPO,Pinus ponderosa,4.1,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,3,PIPO,Pinus ponderosa,3.4,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,3,PIPO,Pinus ponderosa,3.3,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,3,PIPO,Pinus ponderosa,4.9,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,10,1,PIPO,Pinus ponderosa,12.3,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,10,2,PIPO,Pinus ponderosa,11.3,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,10,2,PSME,Pseudotsuga menziesii,5.3,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,10,2,UNKN,Unknown species,3.3,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,10,2,UNKN,Unknown species,4.2,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,10,2,UNKN,Unknown species,4.2,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,10,2,UNKN,Unknown species,10,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,10,3,PIPO,Pinus ponderosa,6.9,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,10,3,UNKN,Unknown species,3.8,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,11,1,UNKN,Unknown species,5.1,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,11,2,PIPO,Pinus ponderosa,4.5,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,12,2,PIPO,Pinus ponderosa,6.5,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,13,2,UNKN,Unknown species,3.6,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,13,2,UNKN,Unknown species,9.3,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,14,1,PIPO,Pinus ponderosa,8.3,4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,14,1,PIPO,Pinus ponderosa,7.9,3
