Fuelbeds,Filename,Consume_model,Scenario,Total Consumption,Shrub Consumption,Herb Consumption,Wood Consumption,LLM Consumption,Ground Consumption,C_wood_1hr,C_wood_10hr,C_wood_100hr,C_wood_S1000hr,C_wood_R1000hr,C_wood_S10khr,C_wood_R10khr,C_wood_S+10khr,C_wood_R+10khr,Consumption_1000h Sound,Consumption_1000h Rotten
25Mile,FB_0052_25Mile_2017.xml,4.2,Fall 2016_average,10.96,0.08,0.15,6.37,3.93,0.43,0.07,0.67,1.03,1.25,0.42,1.35,0.62,0.19,0.79,2.79,1.82
Angel,FB_0052_Angel.xml,4.2,Fall 2016_average,11.98,0.09,0.06,6.58,2.47,2.79,0.38,0.94,1.15,0.71,0.53,0.41,1.09,0.15,1.20,1.28,2.83
Chumstick,FB_0052_Chumstick.xml,4.2,Fall 2016_average,10.65,0.03,0.03,5.01,4.24,1.34,0.12,1.11,2.13,1.31,0.09,0.27,0.00,0.00,0.00,1.57,0.09
Orion,FB_0052_Orion.xml,4.2,Fall 2016_average,7.16,0.05,0.13,2.12,2.53,2.34,0.01,0.46,0.66,0.25,0.29,0.13,0.32,0.00,0.00,0.38,0.61
Paradise90,FB_0052_Paradise90.xml,4.2,Fall 2016_average,17.73,0.25,0.05,8.37,1.57,7.49,0.26,1.29,1.29,2.17,0.52,0.92,0.69,0.71,0.52,3.80,1.73
ShermanCreek,FB_0052_ShermanCreek_2017.xml,4.2,Fall 2016_average,14.00,0.05,0.25,6.26,2.04,5.40,0.03,0.78,1.45,1.90,0.74,0.73,0.62,0.00,0.00,2.63,1.37
8Mile,FB_0052_8Mile_2017.xml,4.2,Fall 2016_average,14.32,0.34,0.06,7.45,2.65,3.82,0.19,1.02,1.40,1.31,0.90,0.68,0.95,0.33,0.67,2.32,2.52
Canteen,FB_0052_Canteen_2017.xml,4.2,Fall 2016_average,21.79,0.05,0.20,14.02,1.14,6.38,0.54,2.27,3.27,1.68,1.72,0.85,1.65,0.00,2.03,2.53,5.40
Goat,FB_0052_Goat_2017.xml,4.2,Fall 2016_average,12.99,0.00,0.09,5.74,2.65,4.51,0.18,0.96,1.26,1.28,0.39,0.35,0.57,0.21,0.53,1.84,1.50
OakCreek,FB_0052_OakCreek_2017.xml,4.2,Fall 2016_average,18.22,0.01,0.10,11.97,1.21,4.93,0.42,0.89,1.18,1.59,1.29,2.64,2.66,0.18,1.12,4.40,5.07
UR1,FB_0052_UR1_2017.xml,4.2,Fall 2016_average,16.05,0.05,0.02,7.11,2.21,6.67,0.15,0.66,1.47,1.09,0.62,0.22,0.31,0.00,2.60,1.31,3.52
Natapoc,FB_0052_Natapoc.xml,4.2,Fall 2016_average,31.81,0.29,0.16,25.62,2.15,3.60,1.46,3.75,4.75,,,,,,,8.40,7.25
Vulcan,FB_0052_Vulcan.xml,4.2,Fall 2016_average,20.31,0.24,0.05,10.82,1.71,7.49,0.34,1.39,2.30,,,,,,,2.45,4.34
Hanlon,FB_0052_Hanlon.xml,4.2,Fall 2016_average,10.33,0.21,0.01,4.71,1.81,3.60,0.42,1.10,0.89,,,,,,,0.73,1.57
25Mile,FB_0052_25Mile_2017.xml,4.2,Spring 2017_average,4.08,0.08,0.15,2.37,1.54,0.00,0.07,0.67,1.03,0.10,0.06,0.14,0.08,0.02,0.21,0.26,0.35
