projectName,unitName,springFall,epShort,samplingStartDate,plotNo,pinNo,pinStatus,pinType,pinToSurface_mm,SMType,SMDepth_mm,SM_PreDepth_mm,SM_ConsumedDepth_mm,SM_PostDepth_mm,DuffType,pinToRemaining_mm,pinToSoil_mm,Duff_PreDepth_mm,Duff_ConsumedDepth_mm,Duff_PostDepth_mm
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,1,1,OK,S,0,LP,34,34,3,31,ND,31,34,0,0,0
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,1,3,OK,S,0,LP,30,30,0,30,LP,30,39,9,0,9
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,1,5,OK,S,0,LP,20,20,0,20,LP,20,21,1,0,1
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,1,7,OK,S,0,LP,22,22,0,22,LP,22,23,1,0,1
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,1,9,OK,S,0,LP,35,35,0,35,ND,35,35,0,0,0
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,1,11,OK,S,0,LP,39,39,0,39,LP,39,43,4,0,4
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,1,13,OK,S,0,LP,39,39,0,39,LP,39,44,5,0,5
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,1,15,OK,S,0,LP,24,24,24,0,LP,28,34,10,4,6
Washington DNR Pilot Project,Angel,Fall2016,POST,10/8/2016,2,3,OK,S,0,SF,12,12,12,0,SF,15,23,11,3,8
Washington DNR Pilot Project,Angel,Fall2016,POST,10/8/2016,2,5,OK,S,0,LP,21,21,21,0,LP,42,42,21,21,0
Washington DNR Pilot Project,Angel,Fall2016,POST,10/8/2016,2,7,OK,S,0,LP,19,19,19,0,LP,78,78,59,59,0
Washington DNR Pilot Project,Angel,Fall2016,POST,10/8/2016,2,9,OK,S,0,SF,5,5,5,0,SF,7,13,8,2,6
Washington DNR Pilot Project,Angel,Fall2016,POST,10/8/2016,2,11,OK,S,0,GR,9,9,9,0,GR,12,40,31,3,28
Washington DNR Pilot Project,Angel,Fall2016,POST,10/8/2016,2,13,OK,S,0,SF,7,7,7,0,SF,10,17,10,3,7
Washington DNR Pilot Project,Angel,Fall2016,POST,10/8/2016,2,15,OK,S,0,LP,20,20,20,0,LP,27,42,22,7,15
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,3,1,OK,S,0,LP,18,18,18,0,LP,30,50,32,12,20
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,3,3,OK,S,0,LP,76,76,76,0,LP,106,114,38,30,8
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,3,5,OK,S,0,LP,23,23,23,0,LP,30,40,17,7,10
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,3,7,OK,S,0,LP,25,25,25,0,LP,35,42,17,10,7
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,3,9,OK,S,0,LP,19,19,19,0,LP,36,51,32,17,15
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,3,11,OK,S,0,SF,1,1,1,0,SF,30,49,48,29,19
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,3,13,OK,S,0,LP,29,29,29,0,LP,60,93,64,31,33
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,3,15,OK,S,0,LP,32,32,32,0,LP,86,94,62,54,8
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,4,1,OK,S,0,LP,27,27,27,0,LP,35,46,19,8,11
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,4,3,OK,S,0,LP,20,20,20,0,LP,45,80,60,25,35
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,4,5,OK,S,0,LP,30,30,30,0,LP,42,60,30,12,18
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,4,7,OK,S,0,LP,40,40,40,0,LP,52,79,39,12,27
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,4,9,OK,S,0,LP,33,33,2,31,LP,31,40,7,0,7
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,4,11,OK,S,0,LP,62,62,62,0,LP,91,118,56,29,27
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,4,13,OK,S,0,LP,29,29,29,0,LP,44,70,41,15,26
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,4,15,OK,S,0,LP,44,44,44,0,LP,67,81,37,23,14
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,5,1,NI,S,0,LP,17,17,17,0,LP,0,29,12,0,12
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,5,3,NI,S,0,LP,5,5,5,0,ND,0,5,0,0,0
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,5,5,OK,S,0,SF,8,8,2,6,SF,6,17,9,0,9
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,5,7,NI,S,0,LP,12,12,12,0,LP,0,30,18,0,18
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,5,9,OK,S,0,LP,30,30,2,28,LP,28,58,28,0,28
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,5,13,OK,S,0,LP,18,18,18,0,WR,96,119,101,78,23
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,5,15,OK,S,0,LP,11,11,11,0,WR,77,102,91,66,25
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,6,1,NI,S,0,LP,1,1,1,0,ND,0,1,0,0,0
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,6,3,NI,S,0,LP,18,18,18,0,LP,0,21,3,0,3
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,6,5,NI,S,0,LP,16,16,16,0,LP,0,31,15,0,15
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,6,7,NI,S,0,LP,9,9,9,0,LP,0,14,5,0,5
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,6,9,NI,S,0,LP,16,16,16,0,ND,0,16,0,0,0
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,6,11,NI,S,0,LP,42,42,42,0,LP,0,57,15,0,15
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,6,13,NI,S,0,LP,27,27,27,0,LP,0,40,13,0,13
Washington DNR Pilot Project,Angel,Fall2016,PRE,9/20/2016,6,15,NI,S,0,LP,15,15,15,0,ND,0,15,0,0,0
