projectName,unitName,epShort,samplingStartDate,SampleMaterial,sampleNo,depth_mm,grossWetWt_g,wetContWt_g,grossDryWt_g,dryContWt_g
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1000-hr,1,,3994.4,76.54,3416.67,165.87
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1000-hr,2,,226,30.76,179.78,33.24
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1000-hr,3,,1458.2,30.76,734.52,40.01
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1000-hr,4,,1327.2,31.1,205.48,118.42
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1000-hr,5,,2000,50.94,1086.92,80.88
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1000-hr,6,,2845.5,50.6,2232.58,246.08
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1000-hr,7,,553.6,31.1,376.75,58.97
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1000-hr,8,,852.9,31.1,648.52,40.59
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1000-hr,9,,778.3,31.1,478.73,40.6
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1000-hr,10,,1041.8,31.1,533.24,40.48
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1000-hr,11,,605.6,31.4,211.41,40.48
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1000-hr,12,,530.1,31.06,356.8,37.26
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1000-hr,13,,446.2,31.06,361.98,40.74
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1000-hr,14,,715.7,31.06,452.28,40.4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1000-hr,15,,420.1,31.06,299.03,41.57
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1000-hr,16,,246.7,31.06,125.66,32.34
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1000-hr,17,,702.6,31.06,368.61,40.65
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1000-hr,18,,286,31.06,151.54,19.76
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1000-hr,19,,365.2,31.06,243.06,57.96
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1000-hr,20,,997.9,30.76,520.31,40.75
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 100-hr,1,,255,18.43,212.5,23.45
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 100-hr,2,,401.6,18.43,343.44,35.36
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 100-hr,3,,226.1,18.43,180.2,28.36
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 100-hr,4,,218.3,18.43,167.28,31.78
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 100-hr,5,,212.5,18.47,170.63,29.1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 100-hr,6,,230.3,18.13,210.13,27.04
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 100-hr,7,,288.6,18.43,257.7,28.39
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 100-hr,8,,248.5,19.84,184.62,20.74
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 100-hr,9,,383.1,19.84,290.48,29.93
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 100-hr,10,,260,19.84,227.41,37.32
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 10-hr,1,,301.7,14.6,298.2,51.35
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 10-hr,2,,306.4,15.2,319.89,58.32
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 10-hr,3,,329.4,34.64,319.56,55.87
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 10-hr,4,,259.6,14.7,273.85,57.27
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 10-hr,5,,329.7,14.8,316.33,44.07
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 10-hr,6,,319.3,19.84,338.72,65.77
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 10-hr,7,,271.9,14.7,287.85,62.81
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 10-hr,8,,276.8,14.8,273.13,49.18
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 10-hr,9,,274.9,14.6,287.84,54.74
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 10-hr,10,,265.3,14.7,285.61,64.18
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1-hr,1,,99,14.7,142.8,68.69
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1-hr,2,,89.7,14.7,105.62,38.4
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1-hr,3,,83.5,14.7,122.25,61
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1-hr,4,,86.1,14.7,119.42,54.61
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1-hr,5,,83.9,14.5,112.29,49.28
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1-hr,6,,82.1,14.5,108.75,47.9
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1-hr,7,,72.6,14.7,105.86,55.5
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1-hr,8,,83.4,14.5,114.11,52.68
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1-hr,9,,96.2,14.7,122.64,48.62
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Downed Woody: 1-hr,10,,74.2,14.6,117.7,63.48
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Duff,1,,79.4,14.7,91.7,48.76
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Duff,2,,80.6,14.6,79.53,45.79
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Duff,3,,78.7,14.6,89.94,52.38
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Duff,4,,89,14.6,105.36,58.19
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Duff,5,,83.9,14.6,82.51,40.64
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Duff,6,,115.8,14.7,84.91,40.77
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Duff,7,,96.5,14.6,98.45,49.66
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Duff,8,,95.4,12.8,96.46,40.91
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Duff,9,,118.6,14.6,83.85,21.62
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Duff,10,,118.3,14.5,122.76,54.39
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Grass,1,,48.6,14.6,70.74,53.11
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Grass,2,,50.6,14.7,60.47,45.66
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Grass,3,,58.9,14.7,78.13,61.79
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Grass,4,,51.2,14.7,67.86,49.77
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Grass,5,,59.7,14.6,71.14,52.48
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Grass,6,,62.4,14.8,72.51,51.38
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Grass,7,,59.8,14.7,66.85,48
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Grass,8,,55.6,14.7,69.53,47.38
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Grass,9,,61.7,14.6,67.32,47.26
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Grass,10,,55.3,14.9,77.45,59.88
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Litter,1,,106.8,34.44,116.86,51.77
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Litter,2,,103,14.9,140.59,62.23
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Litter,3,,65.6,14.6,101.08,56.6
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Litter,4,,70.9,15,104.09,53.53
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Litter,5,,63.5,14.5,92.4,48.25
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Litter,6,,60.3,14.8,82.34,41.59
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Litter,7,,65.2,14.5,94.92,49.5
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Litter,8,,72,14.6,100.84,50.9
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Litter,9,,66.4,14.5,101.07,54.18
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Litter,10,,60.5,14.4,100.34,59.31
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Shrubs,1,,64.1,14.8,81.44,54.19
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Shrubs,2,,88.2,14.8,83.05,47.5
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Shrubs,3,,95.9,14.7,97.37,59.55
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Shrubs,4,,90.6,14.7,75.91,39.44
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Shrubs,5,,91.7,14.1,65.49,31.86
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Shrubs,6,,88.2,14.7,61.12,28.05
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Shrubs,7,,88.6,14.7,51.74,37.58
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Shrubs,8,,74.5,14.7,61.35,30.58
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Shrubs,9,,95.9,15,87.66,46.43
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,Shrubs,10,,60.2,14.6,68.41,33.13
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1000-hr,1,,286.92,19.8,261.4,30.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1000-hr,2,,949.93,19.8,547,30.4
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1000-hr,3,,936.08,19.8,567.8,51.7
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1000-hr,4,,1865.8,50.9,1520.7,91.8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1000-hr,5,,600.12,19.8,551.1,50.1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1000-hr,6,,644.2,19.8,579.1,49.2
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1000-hr,7,,435.95,19.8,402.9,56.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1000-hr,8,,578.36,19.8,532,47.1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1000-hr,9,,779.01,19.96,562.1,27.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1000-hr,10,,255.83,19.96,258.3,53.5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1000-hr,11,,727.5,19.96,549.2,31
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1000-hr,12,,804.11,20,597.8,49.1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1000-hr,13,,370.6,20,346.7,39.6
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1000-hr,14,,497.58,20,469.1,49.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1000-hr,15,,2330.92,51.1,1950.1,113.9
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,Downed Woody: 1000-hr,16,,435.28,19.9,354.3,50.9
