projectName,unitName,epShort,samplingStartDate,plot,treeTagNo,scientificName,dbh_in,ht_ft,htlc_ft,cbh_ft,status,crownScorch_%,maxScorchHt_ft,minBoleChar_ft,maxBoleChar_ft,burnSeverity
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,522,Pinus ponderosa,5.6,37,11,5,L,0,,0,3,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,517,Pinus ponderosa,8,51,19,3,L,0,,0,2.5,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,515,Pinus ponderosa,7.1,49,23,3,L,0,,0.5,2,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,526,Pinus ponderosa,6.5,23,12,2,L,80,16,1,4,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,525,Pinus ponderosa,6,31,16,3,L,50,18,1,3.5,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,523,Pinus ponderosa,14.2,56,18,6,L,40,28,0,2,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,521,Pinus ponderosa,18.9,81,27,5,L,0,,0,7,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,519,Pinus ponderosa,14.4,66,15,3,L,5,12,0.5,2,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,518,Pinus ponderosa,7.7,48,20,3,L,2,10,0,1.5,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,516,Pinus ponderosa,3.7,17,,7,D,,,0.5,1.5,
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,513,Pinus ponderosa,6.4,33,22,3,L,0,,0.5,5.5,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,512,Pinus ponderosa,13.6,58,28,4,L,2,23,3,9,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,511,Pinus ponderosa,3.7,27,15,15,L,85,26,0,3,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,524,Pinus ponderosa,6.6,43,19,6,L,15,17,0.5,6.5,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,527,Pinus ponderosa,13.2,49,25,1,L,20,22,0,3,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,514,Pinus ponderosa,5.7,34,13,1,L,95,34,1.5,6,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,528,Pseudotsuga menziesii,6.6,31,10,2,L,70,27,4,8.5,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,520,Pseudotsuga menziesii,6.2,42,12,1,L,20,26,0,7,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,3,509,Pinus ponderosa,6.8,28,10,3,L,0,,2,5.5,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,3,506,Pinus ponderosa,28.4,91,31,31,L,25,56,0,1.5,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,3,505,Pinus ponderosa,5.3,22,2,2,L,90,22,0,1,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,3,508,Pinus ponderosa,25.9,88,23,17,L,5,45,0.5,5,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,3,504,Pinus ponderosa,5.8,24,5,2,L,95,24,0,0.5,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,3,503,Pinus ponderosa,3.7,18,3,1,L,5,7,0,1,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,3,501,Pinus ponderosa,2.2,14,3,3,L,30,14,0,0.5,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,3,502,Pinus ponderosa,2.5,16,3,3,L,30,14,0,0.5,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,3,507,Pinus ponderosa,16.8,42,13,13,L,90,42,6,6.5,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,3,510,Pseudotsuga menziesii,16.8,76,24,2,L,0,,5,1.2,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,5,530,Pinus ponderosa,16.2,73,20,5,L,0,,0,0,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,5,531,Pseudotsuga menziesii,18.3,8,,,D,,,0,0,
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,5,529,Pseudotsuga menziesii,23.8,94,10,6,L,0,,0,0,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,5,532,Salix spp.,0.3,7,,,D,,,0,0,
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,7,540,Pinus ponderosa,12.2,54,30,23,L,5,30,3,8.5,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,7,536,Pinus ponderosa,14.6,68,23,8,L,10,24,6.5,7.5,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,7,537,Pinus ponderosa,15.9,77,33,9,L,2,44,0.5,8,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,7,539,Pinus ponderosa,14.5,12,,,D,,,0.5,8,
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,7,535,Pinus ponderosa,15.3,71,20,11,L,15,41,1.5,14,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,7,534,Pinus ponderosa,15,65,12,8,L,85,60,1.5,6,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,7,538,Pinus ponderosa,17.1,73,31,4,L,10,41,0.5,8,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,7,541,Pinus ponderosa,26.2,82,27,18,L,2,47,0,2,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,7,533,Pinus ponderosa,16.9,76,10,5,L,10,40,1.5,4.5,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,543,Pinus ponderosa,18.7,88,47,41,L,10,69,12,15,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,542,Pinus ponderosa,0.2,4.5,1,1,L,100,4.5,0.5,0.5,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,545,Pinus ponderosa,17.2,76,25,5,L,75,58,1,9,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,544,Pseudotsuga menziesii,21.7,82,25,6,L,5,46,10,16,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,546,Salix spp.,0.4,7,4,4,L,0,,0,0,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,11,123,Pinus ponderosa,27.3,99,22,22,L,10,32,2,10,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,11,119,Pinus ponderosa,21.4,85,28,18,L,0,,3.5,12,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,11,121,Pinus ponderosa,33.6,102,36,28,L,5,41,2,6.5,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,11,122,Pinus ponderosa,27.8,113,51,51,L,5,49,4.5,13,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,11,120,Pinus ponderosa,23.7,92,23,17,L,5,34,2,6.5,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,13,124,Pinus ponderosa,22.2,65,9,4,L,10,26,5,13,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,13,129,Pinus ponderosa,21.8,70,12,5,L,15,19,3,9,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,13,126,Pinus ponderosa,20.7,87,16,4,L,20,32,3,3.5,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,13,125,Pinus ponderosa,17,52,12,3,L,15,22,3,9.5,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,13,127,Pinus ponderosa,20.8,84,21,4,L,10,39,1,13,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,13,128,Pinus ponderosa,18.1,83,16,5,L,15,32,2.5,12,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,15,131,Pinus ponderosa,9.9,52,15,6,L,5,16,1.5,5,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,15,130,Pinus ponderosa,22.2,77,19,4,L,20,28,0,10,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,15,132,Pinus ponderosa,27.4,74,14,4,L,10,31,0,9,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,15,136,Pinus ponderosa,16.5,69,20,4,L,15,31,2.5,8,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,15,134,Pinus ponderosa,7.9,46,23,6,L,10,17,2,3,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,15,133,Pinus ponderosa,17.3,71,18,5,L,10,32,1,5,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,15,135,Pinus ponderosa,7.2,45,19,5,L,85,38,0.5,1,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,17,143,Pinus contorta var. latifolia,0.8,7,1,1,L,100,7,0.5,3,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,17,137,Pinus ponderosa,17.1,65,19,6,L,5,32,1.5,9,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,17,145,Pinus ponderosa,0.8,6,1,1,L,100,6,1,2,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,17,141,Pinus ponderosa,12.3,63,36,14,L,0,,3,8,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,17,142,Pinus ponderosa,18.3,69,21,7,L,0,,4,10,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,17,138,Pinus ponderosa,19.5,69,25,21,L,0,,1,4,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,17,144,Pinus ponderosa,0.7,6,1,1,L,100,6,0.5,1.5,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,17,139,Pinus ponderosa,16.2,75,21,19,L,0,,0,8,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,17,140,Salix scouleriana,1.6,14,5,4,L,25,8,1,3,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,19,148,Pinus ponderosa,21.5,81,37,37,L,40,50,1,12,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,19,153,Pinus ponderosa,16.2,66,19,17,L,90,62,4,6,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,19,151,Pinus ponderosa,19.1,69,29,29,L,85,65,3,4.5,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,19,150,Pinus ponderosa,15.7,69,28,11,L,75,64,4,7.5,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,19,147,Pinus ponderosa,17.7,74,32,24,L,45,59,2,8.5,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,19,146,Pinus ponderosa,17,80,32,17,L,85,71,3,8,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,19,152,Salix scouleriana,1.3,9,4,3,L,75,9,2,4,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,19,149,Salix spp.,0.7,9,4,4,L,0,,1,1.5,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,1,1914,Picea engelmannii var. engelmannii,1.3,8,2,2,L,,,,,
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,1,1917,Picea engelmannii var. engelmannii,4.7,20,3,1,L,,,,,
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,1,1915,Picea engelmannii var. engelmannii,1.8,10,1,1,L,,,,,
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,1,1934,Pinus ponderosa,8.7,40,14,6,L,,,,,
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,1,1916,Pinus ponderosa,5.8,20,12,6,L,,,,,
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,1,1918,Pinus ponderosa,25.2,111,33,18,L,,,,,
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,1,1919,Pinus ponderosa,21.8,109,28,28,L,,,,,
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,1,1920,Pinus ponderosa,6.8,6,,,D,,,,,
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,1,1910,Pinus ponderosa,6.7,39,19,7,L,,,,,
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,1,1922,Pinus ponderosa,25.6,122,63,53,L,,,,,
