projectName,unitName,epShort,samplingStartDate,plot,form,scientificName,tally
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,sapling,Pinus ponderosa,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,sapling,Pseudotsuga menziesii,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,1,seedling,Unknown species,10
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,sapling,Pinus ponderosa,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,sapling,Pseudotsuga menziesii,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,seedling,Pinus ponderosa,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,seedling,Pseudotsuga menziesii,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,2,tall shrub,Salix spp.,8
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,4,seedling,Pinus ponderosa,3
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,5,seedling,Unknown species,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,7,seedling,Pinus ponderosa,12
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,7,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,sapling,Pinus ponderosa,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,9,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,10,sapling,Pinus ponderosa,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,10,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,10,seedling,Pseudotsuga menziesii,8
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,11,seedling,Pinus ponderosa,2
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,16,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,17,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,19,sapling,Pinus ponderosa,1
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,19,seedling,Pinus ponderosa,13
Washington DNR Pilot Project,25 Mile,PRE,23-Sep-16,20,sapling,Pinus ponderosa,2
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,1,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,4,seedling,Pinus ponderosa,2
Washington DNR Pilot Project,25 Mile,POST,02-Jun-17,20,sapling,Pinus ponderosa,2
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,1,sapling,Pinus ponderosa,2
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,2,sapling,Pinus ponderosa,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,3,sapling,Pseudotsuga menziesii,2
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,3,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,6,sapling,Pinus ponderosa,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,6,seedling,Pinus ponderosa,2
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,6,seedling,Pseudotsuga menziesii,2
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,6,seedling,Unknown species,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,8,sapling,Pinus ponderosa,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,9,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,12,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,12,seedling,Pinus ponderosa,2
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,15,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,16,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,17,sapling,Pinus ponderosa,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,17,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,19,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,19,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,20,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,20,seedling,Pinus ponderosa,9
Washington DNR Pilot Project,8 Mile Bottom,PRE,11-Sep-16,20,seedling,Pseudotsuga menziesii,3
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,2,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,3,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,3,seedling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,5,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,5,tall shrub,Unknown species,5
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,6,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,7,sapling,Pinus ponderosa,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,8,sapling,Pseudotsuga menziesii,2
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,8,tall shrub,Acer macrophyllum,8
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,9,seedling,Abies grandis,12
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,9,seedling,Pinus ponderosa,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,13,sapling,Abies grandis,4
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,16,sapling,Pseudotsuga menziesii,1
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,18,seedling,Pinus ponderosa,1
