projectName,unitName,plotNo,cardinalDirection,SMDepth_mm,SMMaterial,duffDepth_mm,DuffMaterial,ParentMaterial,,
Washington DNR Pilot Project,8 Mile Bottom,10,E,20,BS,5,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,9,W,3,GR,28,GR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,17,N,3,GR,0,ND,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,17,W,20,GR,8,WR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,13,E,5,LP,16,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,12,S,6,LP,12,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,13,N,6,LP,15,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,20,N,6,LP,0,ND,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,8,N,7,LP,1,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,17,S,7,LP,0,ND,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,7,S,8,LP,1,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,12,W,8,LP,2,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,3,E,9,LP,3,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,10,W,11,LP,0,ND,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,7,N,12,LP,2,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,11,S,12,LP,42,SF,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,3,S,14,LP,10,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,20,E,14,LP,12,GR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,4,E,15,LP,160,WR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,20,W,15,LP,27,SF,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,9,N,16,LP,29,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,3,N,17,LP,25,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,1,N,19,LP,74,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,6,W,19,LP,7,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,15,E,19,LP,10,GR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,16,S,19,LP,4,MH,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,12,E,20,LP,44,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,13,S,20,LP,34,WR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,4,N,21,LP,33,WR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,4,S,21,LP,84,SF,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,9,S,23,LP,25,WR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,13,W,23,LP,31,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,8,E,25,LP,5,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,4,W,26,LP,93,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,19,E,27,LP,11,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,5,S,28,LP,21,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,6,S,28,LP,14,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,1,S,29,LP,58,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,15,W,29,LP,32,WR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,19,W,30,LP,52,BR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,7,E,31,LP,9,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,15,N,31,LP,22,GR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,1,E,32,LP,58,LP,Log,,
Washington DNR Pilot Project,8 Mile Bottom,16,N,32,LP,12,SF,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,19,N,32,LP,51,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,2,W,35,LP,54,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,6,N,38,LP,11,LP,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,8,W,38,LP,20,WR,Mineral soil,,
Washington DNR Pilot Project,8 Mile Bottom,16,E,38,LP,26,SF,Mineral soil,,
