projectName,unitName,epShort,samplingStartDate,plot,scientificName,decayClassID,onGround,logLength,logCircumferencePre,logCircumferencePost,wirePulledDesc
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,1,Pinus ponderosa,2,0,--,284,265,"Ignited, partial consumption"
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,1,Pinus ponderosa,3,0,--,986,947,"Ignited, partial consumption"
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,1,Unknown species,3,1,--,647,647,"Ignited, no consumption"
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,3,Pinus ponderosa,3,0,--,791,0,Total consumption
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,4,Pinus ponderosa,4,1,--,1058,0,Total consumption
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,5,Pseudotsuga menziesii,3,1,--,837,828,"Ignited, partial consumption"
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,6,Pinus ponderosa,2,0,--,499,499,"Ignited, no consumption"
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,7,Pseudotsuga menziesii,3,1,--,675,127,"Ignited, partial consumption"
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,8,Unknown species,3,0,--,528,466,"Ignited, partial consumption"
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,10,Pinus ponderosa,4,1,--,516,516,"Ignited, no consumption"
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,10,Unknown species,4,1,--,744,744,"Ignited, no consumption"
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,12,Pinus ponderosa,3,0,--,355,346,"Ignited, partial consumption"
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,13,Unknown species,4,0,--,609,609,"Ignited, no consumption"
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,14,Pinus ponderosa,1,0,--,383,363,"Ignited, partial consumption"
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,15,Pinus ponderosa,2,0,--,310,276,"Ignited, partial consumption"
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,16,Pinus ponderosa,3,1,--,620,620,"Ignited, no consumption"
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,17,Pinus ponderosa,3,1,--,369,317,"Ignited, partial consumption"
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,19,Pinus ponderosa,4,1,--,657,657,"Ignited, no consumption"
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,19,Pinus ponderosa,3,0,--,412,334,"Ignited, partial consumption"
Washington DNR Pilot Project,25 Mile,POST,2-Jun-17,20,Pinus ponderosa,3,0,--,501,380,"Ignited, partial consumption"
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,1,Abies grandis,3,0,52,381,366,"Ignited, partial consumption"
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,3,Pinus ponderosa,3,1,35,891,551,"Ignited, partial consumption"
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,3,Pinus ponderosa,2,0,26,662,572,"Ignited, partial consumption"
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,4,Abies grandis,3,0,37,696,0,Total consumption
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,7,Pseudotsuga menziesii,4,0,35,575,568,"Ignited, partial consumption"
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,8,Unknown species,5,1,21,700,0,Total consumption
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,10,Unknown species,5,0,14,551,0,Total consumption
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,11,Abies grandis,5,1,18,403,0,Total consumption
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,11,Abies grandis,2,0,62,534,529,"Ignited, partial consumption"
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,11,Pseudotsuga menziesii,3,0,81,601,431,"Ignited, partial consumption"
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,12,Abies grandis,4,1,26,836,0,Total consumption
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,13,Larix occidentalis,2,0,54.5,431,302,"Ignited, partial consumption"
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,13,Pinus ponderosa,4,1,74,941,196,"Ignited, partial consumption"
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,14,Pinus ponderosa,1,0,80,968,0,Total consumption
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,14,Pinus ponderosa,2,0,29,1199,918,"Ignited, partial consumption"
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,15,Abies grandis,3,1,59.5,678,0,Total consumption
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,15,Unknown species,3,1,46,389,297,"Ignited, partial consumption"
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,17,Pseudotsuga menziesii,3,0,43,680,0,Total consumption
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,17,Unknown species,4,1,10,821,0,Total consumption
Washington DNR Pilot Project,Angel,PRE,20-Sep-16,19,Unknown species,5,1,63,671,533,"Ignited, partial consumption"
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,1,Pseudotsuga menziesii,4,1,55,336,0,Total consumption
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,2,Pinus ponderosa,3,1,12,321,241,"Ignited, partial consumption"
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,2,Pinus ponderosa,3,1,47.6,492,0,Total consumption
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,3,Pinus ponderosa,4,1,62.1,859,431,"Ignited, partial consumption"
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,3,Pinus ponderosa,4,1,66.2,530,0,Total consumption
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,3,Pinus ponderosa,4,1,47.7,654,0,Total consumption
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,3,Pinus ponderosa,4,1,63.4,580,0,Total consumption
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,5,Unknown species,4,1,44.9,390,0,Total consumption
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,5,Unknown species,3,1,33.3,311,261,"Ignited, partial consumption"
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,6,Pinus ponderosa,2,1,63.1,728,562,"Ignited, partial consumption"
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,7,Pinus ponderosa,3,0,37.8,381,0,Total consumption
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,13,Pinus ponderosa,2,1,51.2,991,0,Total consumption
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,13,Pseudotsuga menziesii,3,1,69,530,0,Total consumption
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,14,Pseudotsuga menziesii,3,0,43.2,498,375,"Ignited, partial consumption"
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,15,Pinus ponderosa,2,1,28.2,612,480,"Ignited, partial consumption"
Washington DNR Pilot Project,Chumstick ZUI,PRE,12-Sep-16,16,Pseudotsuga menziesii,3,1,39.9,579,579,"Ignited, no consumption"
