"","Species","unitID","DBH_Class","scorchHt","Density","DBH","Height","CR"
"33","abgr",13,2.5,21,33,1.6,10,4
"34","abgr",13,7.5,21,3,6.5,32,5
"35","abgr",13,12.5,21,1,10.4,47,5
"36","abgr",13,17.5,21,1,18.5,74,8
"90","laoc",13,7.5,21,1,7.8,59,5
"91","laoc",13,12.5,21,1,11.2,66,4
"92","laoc",13,17.5,21,1,15.2,81,6
"201","pipo",13,2.5,21,45,2.2,14,3
"202","pipo",13,7.5,21,9,6.2,36,5
"203","pipo",13,12.5,21,7,11.5,56,5
"204","pipo",13,17.5,21,3,16.8,69,6
"205","pipo",13,22.5,21,3,22.3,76,6
"257","psme",13,2.5,21,127,2.3,17,5
"258","psme",13,7.5,21,35,6.7,39,6
"259","psme",13,12.5,21,10,12.1,62,6
"260","psme",13,17.5,21,3,16.2,66,7
