"","Species","unitID","DBH_Class","scorchHt","Density","DBH","Height","CR"
"49","abgr",16,2.5,30,12,2.6,19,6
"50","abgr",16,7.5,30,1,6.6,34,7
"217","pipo",16,2.5,30,5,2.2,18,6
"218","pipo",16,7.5,30,5,8.2,51,5
"219","pipo",16,12.5,30,8,12.6,66,6
"220","pipo",16,17.5,30,4,17.3,85,5
"221","pipo",16,22.5,30,2,23,96,7
"222","pipo",16,27.5,30,1,26.3,79,8
"273","psme",16,2.5,30,36,2.2,17,6
"274","psme",16,7.5,30,14,7.1,48,7
"275","psme",16,12.5,30,5,11.6,62,7
"276","psme",16,17.5,30,3,18.8,104,6
"277","psme",16,22.5,30,3,23.2,115,6
