"","Species","unitID","DBH_Class","scorchHt","Density","DBH","Height","CR"
"65","laoc",5,2.5,6,3,0.6,8,7
"66","laoc",5,7.5,6,5,5.7,48,7
"67","laoc",5,12.5,6,4,11.2,88,5
"121","pico",5,2.5,6,3,0.8,8,7
"122","pico",5,7.5,6,1,8,47,8
"123","pico",5,12.5,6,4,11.4,72,5
"177","pipo",5,2.5,6,5,2.3,21,4
"178","pipo",5,7.5,6,8,8.1,60,6
"179","pipo",5,12.5,6,7,14.1,83,5
"180","pipo",5,17.5,6,9,17.3,96,5
"184","pipo",5,37.5,6,1,38.3,134,7
"233","psme",5,2.5,6,63,1.1,10,6
"234","psme",5,7.5,6,11,7.1,46,6
"235","psme",5,12.5,6,7,12.6,73,7
"236","psme",5,17.5,6,1,19,103,7
