site,category,prefire_load_tonsPerAcre,postfire_load_tonsPerAcre,consumption_tonsPerAcre,percent_consumed,Consume21_predictedConsumption_siteFuelMoisture,Consume42_predictedConsumption_siteFuelMoisture,Consume21_predictedConsumption_fallAveFuelMoisture,Consume42_predictedConsumption_fallAveFuelMoisture,Consume21_predictedConsumption_springAveFuelMoisture,Consume42_predictedConsumption_springAveFuelMoisture
Angel,hr_1,0.38,0.07,0.31,82,0.38,0.38,0.38,0.38,0.38,0.38
Angel,hr_10,1.09,0.25,0.84,77,0.95,0.94,0.95,0.94,0.95,0.94
Angel,hr_100,1.47,0.23,1.24,84,1.24,1.15,1.19,1.03,0.8,1.15
Angel,hr_1000S,2.62,0.49,2.13,81,0.72,1.44,0.66,1.28,0.11,0.12
Angel,hr_1000R,4.85,0.08,4.77,98,1.02,3.08,0.92,2.83,0.14,0.54
Angel,litter,2.47,0.46,2.01,81,1.68,2.47,1.62,2.47,1.13,1.1
Angel,duff,11.07,4.36,6.71,61,5.51,3.73,5.15,2.79,1.59,0
Angel,herb,0.06,0.01,0.05,83,0.06,0.06,0.06,0.06,0.06,0.06
Angel,shrub,0.13,0.05,0.08,62,0.09,0.09,0.09,0.09,0.09,0.09
Angel,Total,24.14,6,18.14,75,11.64,13.34,11.02,11.87,5.25,4.38
Chumstick,hr_1,0.12,0.01,0.11,92,0.12,0.12,0.12,0.12,0.12,0.12
Chumstick,hr_10,1.28,0.12,1.16,91,1.13,1.11,1.13,1.11,1.13,1.11
Chumstick,hr_100,2.71,0.17,2.54,94,2.36,2.13,2.27,2.13,1.88,2.13
Chumstick,hr_1000S,2.46,0.12,2.34,95,1.01,1.77,0.85,1.57,0.14,0.14
Chumstick,hr_1000R,0.1,0,0.1,100,0.02,0.09,0.02,0.09,0,0.01
Chumstick,litter,4.24,0.71,3.53,83,3.15,4.24,2.99,4.24,2.34,1.89
Chumstick,duff,5.33,1.18,4.15,78,2.46,2.27,1.84,1.34,0,0
Chumstick,herb,0.03,0.01,0.02,67,0.03,0.03,0.03,0.03,0.03,0.03
Chumstick,shrub,0.04,0.02,0.02,50,0.03,0.03,0.03,0.03,0.03,0.03
Chumstick,Total,16.31,2.34,13.97,86,10.31,11.79,9.28,10.66,5.67,5.46
Orion,hr_1,0.01,0.01,0,0,0.01,0.01,0.01,0.01,0.01,0.01
Orion,hr_10,0.53,0.31,0.22,42,0.44,0.46,0.44,0.46,0.44,0.46
Orion,hr_100,0.84,0.37,0.47,56,0.68,0.66,0.65,0.66,0.25,0.66
Orion,hr_1000S,0.7,0.18,0.52,74,0.23,0.43,0.21,0.38,0.03,0.03
Orion,hr_1000R,0.82,0.34,0.48,59,0.17,0.65,0.16,0.61,0.02,0.08
Orion,litter,2.53,0.42,2.11,83,1.72,2.53,1.67,2.53,1.17,1.13
Orion,duff,9.26,3.77,5.49,59,4.36,2.95,4.12,2.34,0.83,0
Orion,herb,0.14,0.03,0.11,79,0.14,0.13,0.14,0.13,0.14,0.13
Orion,shrub,0.07,0,0.07,100,0.05,0.05,0.05,0.05,0.05,0.05
Orion,Total,14.9,5.43,9.47,64,7.78,7.87,7.45,7.17,2.94,2.55
Paradise 90,hr_1,0.26,0.07,0.19,73,0.26,0.26,0.26,0.26,0.26,0.26
Paradise 90,hr_10,1.49,0.41,1.08,72,1.32,1.29,1.32,1.29,1.32,1.29
Paradise 90,hr_100,1.64,0.71,0.93,57,1.34,1.29,1.34,1.29,0.95,1.29
Paradise 90,hr_1000S,7.97,3.67,4.3,54,1.88,2.36,1.89,3.8,0.3,0.34
Paradise 90,hr_1000R,2.76,0.76,2,72,0.52,1.28,0.53,1.73,0.08,0.31
Paradise 90,litter,1.57,0.64,0.93,59,0.93,1.57,0.93,1.57,0.52,0.7
Paradise 90,duff,29.71,10.74,18.97,64,15.66,7.21,15.57,7.49,9.35,0
Paradise 90,herb,0.05,0.03,0.02,40,0.05,0.05,0.05,0.05,0.05,0.05
Paradise 90,shrub,0.38,0.35,0.03,8,0.27,0.25,0.27,0.25,0.27,0.25
Paradise 90,Total,45.83,17.38,28.45,62,22.22,15.56,22.16,17.73,13.1,4.49
Hanlon,hr_1,0.42,0.42,0,0,   NA,   NA,0.42,0.42,0.42,0.42
Hanlon,hr_10,1.27,1.27,0,0,   NA,   NA,1.12,1.1,1.12,1.1
Hanlon,hr_100,1.14,1.14,0,0,   NA,   NA,0.91,0.89,0.51,0.89
Hanlon,hr_1000S,1.02,1.02,0,0,   NA,   NA,0.39,0.73,0.06,0.06
Hanlon,hr_1000R,2.56,2.56,0,0,   NA,   NA,0.49,1.57,0.08,0.28
Hanlon,litter,1.81,1.81,0,0,   NA,   NA,1.11,1.81,0.68,0.81
Hanlon,duff,14.27,14.27,0,0,   NA,   NA,6.94,3.6,2.9,0
Hanlon,herb,0.01,0.01,0,0,   NA,   NA,0.01,0.01,0.01,0.01
Hanlon,shrub,0.31,0.31,0,0,   NA,   NA,0.22,0.21,0.22,0.21
Hanlon,Total,22.81,22.81,0,0,   NA,   NA,11.61,10.33,6,3.78
Mile25,hr_1,0.07,0.03,0.04,56,0.07,0.07,0.07,0.07,0.07,0.07
Mile25,hr_10,0.77,0.28,0.49,64,0.66,0.67,0.66,0.67,0.66,0.67
Mile25,hr_100,1.28,0.55,0.72,57,0.85,1.03,1.05,1.03,0.66,1.03
Mile25,hr_1000S,6.07,5.6,0.47,8,0.72,0.71,1.45,2.79,0.23,0.26
Mile25,hr_1000R,3.24,2.75,0.49,15,0.29,0.73,0.59,1.82,0.09,0.35
Mile25,litter,3.93,2.33,1.6,41,2.43,2.68,2.76,3.93,2.14,1.54
Mile25,duff,7.11,6.15,0.97,14,1.31,0,2.87,0.43,0,0
Mile25,herb,0.16,0.04,0.12,75,0.16,0.15,0.16,0.15,0.16,0.15
Mile25,shrub,0.12,0.1,0.02,18,0.08,0.08,0.08,0.08,0.08,0.08
Mile25,Total,22.75,17.83,4.92,22,6.57,6.12,9.69,10.97,4.09,4.08
Sherman Creek,hr_1,0.03,0.02,0.01,29,0.03,0.03,0.03,0.03,0.03,0.03
Sherman Creek,hr_10,0.89,0.79,0.11,12,0.78,0.78,0.78,0.78,0.78,0.78
Sherman Creek,hr_100,1.79,1.49,0.3,17,0.99,1.45,1.52,1.45,1.13,1.45
Sherman Creek,hr_1000S,4.58,4.58,0,0,0.09,0.08,1.42,2.63,0.23,0.23
Sherman Creek,hr_1000R,1.75,1.32,0.43,25,0.02,0.07,0.34,1.37,0.05,0.22
Sherman Creek,litter,2.04,0.48,1.55,76,0.68,0.71,1.3,2.04,0.85,1.21
Sherman Creek,duff,13.9,13.43,0.48,3,1.29,0,6.74,5.4,2.75,0
Sherman Creek,herb,0.27,0.12,0.14,54,0.27,0.25,0.27,0.25,0.27,0.25
Sherman Creek,shrub,0.08,0.03,0.05,62,0.06,0.05,0.06,0.05,0.06,0.05
Sherman Creek,Total,25.33,22.26,3.07,12,4.21,3.42,12.46,14,6.15,4.22
Canteen,hr_1,0.54,   NA,   NA,   NA,   NA,   NA,0.54,0.54,0.54,0.54
Canteen,hr_10,2.63,   NA,   NA,   NA,   NA,   NA,2.36,2.27,2.36,2.27
Canteen,hr_100,4.17,   NA,   NA,   NA,   NA,   NA,3.54,3.27,3.15,3.27
Canteen,hr_1000S,4.56,   NA,   NA,   NA,   NA,   NA,1.36,2.53,0.22,0.23
Canteen,hr_1000R,8.68,   NA,   NA,   NA,   NA,   NA,1.65,5.4,0.26,1.31
Canteen,litter,1.14,   NA,   NA,   NA,   NA,   NA,0.6,1.14,0.29,0.51
Canteen,duff,25.28,   NA,   NA,   NA,   NA,   NA,13.22,6.38,7.49,0
Canteen,herb,0.22,   NA,   NA,   NA,   NA,   NA,0.22,0.2,0.22,0.2
