site_no,measure,species_code,diam_0_2,diam_2_4,diam_4_6,diam_6_8,diam_8_10,diam_10_12,diam_12_14,diam_14_16,diam_16_18,diam_18_20,diam_20_22,diam_22_24,diam_24_26,diam_26_28,diam_28_30,diam_30_32,diam_32_34,diam_34_36,diam_36_38,diam_38_40
13,pre,ABGR,66,0,5,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
13,pre,LAOC,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,pre,PIPO,91,0,18,0,0,14,0,6,0,0,5,0,0,0,1,0,0,0,0,0
13,pre,PSME,253,0,70,0,0,21,0,5,0,0,0,0,0,0,0,0,0,0,0,0
13,post,ABGR,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,post,LAOC,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,post,PIPO,18,0,17,0,0,13,0,6,0,0,5,0,0,0,1,0,0,0,0,0
13,post,PSME,4,0,47,0,0,19,0,4,0,0,0,0,0,0,0,0,0,0,0,0
13,mort,ABGR,66,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
13,mort,LAOC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,mort,PIPO,73,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,mort,PSME,249,0,23,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,pre,ABGR,23,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,pre,PIPO,9,0,0,10,0,15,0,0,8,0,0,4,3,0,0,0,0,0,0,0
16,pre,PSME,72,0,0,27,0,9,0,0,5,0,0,5,0,0,0,0,0,0,0,0
16,post,ABGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,post,PIPO,2,0,0,9,0,14,0,0,8,0,0,4,3,0,0,0,0,0,0,0
16,post,PSME,1,0,0,13,0,6,0,0,4,0,0,4,0,0,0,0,0,0,0,0
16,mort,ABGR,23,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,mort,PIPO,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,mort,PSME,71,0,0,14,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0
12,pre,ABGR,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,pre,PICO,91,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,pre,PIPO,0,0,0,5,0,7,0,0,11,0,11,0,0,5,0,1,0,1,0,0
12,pre,PSME,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,post,ABGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,post,PICO,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,post,PIPO,0,0,0,5,0,7,0,0,10,0,10,0,0,5,0,1,0,1,0,0
12,post,PSME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,mort,ABGR,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,mort,PICO,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,mort,PIPO,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
12,mort,PSME,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,pre,LAOC,5,0,11,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,pre,PICO,5,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,pre,PIPO,11,0,0,16,0,0,13,0,18,0,0,0,0,0,0,0,0,0,1,0
